Id,Class
33,"1 Cent,Australian dollar,australia"
34,"1 4 Dollar,US Dollar,usa"
35,"1 Cent,Australian dollar,australia"
36,"1 Cent,Australian dollar,australia"
69,"1 Dollar,Australian dollar,australia"
70,"2 Cents,Australian dollar,australia"
71,"2 Euro,Euro,cyprus"
72,"2 Cents,Australian dollar,australia"
103,"5 Cents,Australian dollar,australia"
104,"5 Cents,Australian dollar,australia"
105,"5 Cents,Australian dollar,australia"
106,"10 Cents,New Zealand dollar,new_zealand"
137,"10 Cents,Australian dollar,australia"
138,"10 Cents,Australian dollar,australia"
139,"10 Cents,Australian dollar,australia"
140,"10 Cents,Australian dollar,australia"
168,"20 Cents,Australian dollar,australia"
169,"50 Ore,Swedish Krona,sweden"
170,"5 Cents,Canadian Dollar,canada"
199,"50 Cents,Australian dollar,australia"
200,"50 Cents,Australian dollar,australia"
201,"50 Cents,Australian dollar,australia"
202,"50 Cents,Australian dollar,australia"
235,"1 Ruble,Russian Ruble,russia"
236,"1 Dollar,Australian dollar,australia"
237,"1 Dollar,Australian dollar,australia"
238,"20 Cents,Euro,austria"
271,"2 Dollars,Australian dollar,australia"
272,"1 Cent,Canadian Dollar,canada"
273,"5 Groszy,Polish Zloty,poland"
274,"2 Dollars,Australian dollar,australia"
307,"1 Centavo,Brazilian Real,brazil"
308,"10 Centavos,Brazilian Real,brazil"
309,"5 Rand,South African Rand,south_africa"
310,"2 Euro,Euro,finland"
343,"5 Centavos,Brazilian Real,brazil"
344,"50 Cents,Euro,malta"
345,"5 Centavos,Brazilian Real,brazil"
346,"5 Centavos,Brazilian Real,brazil"
379,"10 Centavos,Brazilian Real,brazil"
380,"10 Centavos,Brazilian Real,brazil"
381,"10 Centavos,Brazilian Real,brazil"
382,"10 Centavos,Brazilian Real,brazil"
415,"25 Centavos,Brazilian Real,brazil"
416,"2 Cents,Euro,malta"
417,"25 Centavos,Brazilian Real,brazil"
418,"25 Centavos,Brazilian Real,brazil"
451,"1 Real,Brazilian Real,brazil"
452,"1 Real,Brazilian Real,brazil"
453,"1 Real,Brazilian Real,brazil"
454,"1 Real,Brazilian Real,brazil"
487,"2 Pence,British Pound,united_kingdom"
488,"1 Penny,British Pound,united_kingdom"
489,"1 Penny,British Pound,united_kingdom"
490,"1 Penny,British Pound,united_kingdom"
